Action	Adventure	Comedy	Drama	Mystery	Romance	Thriller	Western
0	0	1	0	0	0	0	0
0	0	0	1	0	0	1	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0
0	0	1	1	0	1	0	0
0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	1	0	0	0	0	0	0
0	0	1	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0
0	0	0	1	0	1	0	0
0	0	0	0	1	0	1	0
0	0	0	0	1	0	1	0
0	0	1	0	0	0	0	0
0	0	0	0	1	0	1	0
0	0	1	0	0	1	0	0
0	0	0	1	0	0	1	0
0	0	1	1	0	0	0	0
0	0	1	0	0	0	0	0
0	0	1	0	1	1	1	0
0	0	0	1	0	1	0	0
0	0	0	0	1	0	0	0
0	0	0	0	0	1	0	0
0	0	1	0	0	1	0	0
0	0	1	0	0	1	0	0
0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0
0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0
0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	1	0	1	0
0	1	0	0	0	1	0	0
0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	0	0	1	1	0
0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	0
0	0	0	0	1	1	1	0
0	0	0	0	0	1	0	0
0	0	1	0	0	1	1	0
0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0
0	0	1	0	0	1	0	0
0	0	1	0	0	1	0	0
0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0
1	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	0
0	0	1	0	0	1	0	0
0	0	1	1	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	0
0	0	1	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1
0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0
0	0	1	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	1	0	0
0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0
0	0	1	1	0	0	0	0
0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
0	0	0	1	0	1	0	0
0	0	1	1	0	0	0	0
0	0	0	1	0	0	0	0
1	1	0	0	0	0	1	0
0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	1
0	0	0	1	0	0	1	0
1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	1	0	0	1	0
1	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	1
0	0	0	0	0	0	0	1
0	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0
0	0	0	1	0	0	0	0
